name,BUGP,CBO,CF,DAC,DAM,DIT,ED,LCC,LCOM4,MIT,MPC,NOA,NOC,NOLM,NOM,NOP,NORM,NSM,PF,RFC,SIX,TLOC
com.bea.gestion.entity.Probleme,0.49376699485616127,0.0,0.0,2.0,1.0,0.0,0.0,0.06896551724137931,10.0,0.0,0.0,10.0,0.0,0.0,20.0,0.5,0.0,0.0,0.0,10.0,0.0,86.0
com.bea.gestion.controller.MaterielController,0.17405240268912137,2.0,0.017241379310344827,1.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,11.0,0.0,31.0
com.bea.gestion.config.AsyncConfig,0.09296453053476039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
com.bea.gestion.controller.ViewController,0.10452395148066507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
com.bea.gestion.dto.CreateUserRequest,0.34923916674015076,0.0,0.0,1.0,1.0,0.0,0.0,0.1,7.0,0.0,0.0,7.0,0.0,0.0,14.0,0.5,0.0,0.0,0.0,7.0,0.0,60.0
com.bea.gestion.entity.User,0.4904482690427535,3.0,0.017241379310344827,1.0,1.0,0.0,0.0,0.06896551724137931,12.0,0.0,3.0,8.0,0.0,0.0,22.0,0.36363636363636365,0.0,0.0,0.0,11.0,0.0,91.0
com.bea.gestion.config.CorsConfig,0.08094691328963255,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,9.0
com.bea.gestion.GestionApplicationTests,0.046398344348040244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
com.bea.gestion.entity.Notification,0.4335348367810894,0.0,0.0,1.0,1.0,0.0,0.0,0.07692307692307693,9.0,0.0,0.0,9.0,0.0,0.0,18.0,0.5,0.0,0.0,0.0,9.0,0.0,78.0
com.bea.gestion.controller.ProjetController,0.2583426701467857,2.0,0.017241379310344827,1.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,7.0,0.0,38.0
com.bea.gestion.enums.StatutProjet,0.13930262880493738,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,5.0,0.0,0.0,5.0,0.0,0.0,2.0,0.5,0.0,4.0,0.0,1.0,0.0,12.0
com.bea.gestion.repository.NotificationRepository,0.1370386868417529,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0
com.bea.gestion.repository.ProjetRepository,0.15546389882068046,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,29.0
com.bea.gestion.config.OpenApiConfig,0.07118053106584399,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,13.0
com.bea.gestion.config..springframework.security.config.annotation.method.configuration.EnableMethodSecurity,0.23767182619852745,5.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.0,0.0,0.0,5.0,0.0,29.0
com.bea.gestion.service.ProjetService,0.5230273933530518,9.0,0.10344827586206896,3.0,1.0,0.0,0.0,1.0,1.0,0.0,74.0,4.0,0.0,0.0,8.0,2.125,0.0,0.0,0.0,43.0,0.0,108.0
com.bea.gestion.security.JwtFilter,0.24406818076559544,11.0,0.017241379310344827,2.0,1.0,1.0,2.0,1.0,1.0,0.0,19.0,2.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0,19.0,0.0,59.0
com.bea.gestion.dto.LoginRequest,0.1467775735639022,0.0,0.0,0.0,1.0,0.0,0.0,0.4,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.5,0.0,0.0,0.0,2.0,0.0,19.0
com.bea.gestion.controller.TestController,0.23780164295385242,6.0,0.034482758620689655,1.0,1.0,0.0,0.0,0.6,2.0,0.0,14.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,13.0,0.0,29.0
com.bea.gestion.controller.UserController,0.20157737803392206,4.0,0.034482758620689655,1.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,5.0,1.2,0.0,0.0,0.0,9.0,0.0,29.0
